synthetic_id,source_loan_id,synthetic_desc,is_synthetic_text,model,reasoning_effort,prompt_version,source_features_sha256,response_id,generation_timestamp_utc
syn_0001,lc_001789291,Current credit card balances are what I want to refinance through this loan. I would replace that revolving debt with a single installment account.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,9370188db02f04784a1259c5312a22c2d14c6eeb150e1fbcb12c6fe7c58b9c80,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0002,lc_001821428,Bringing what I owe across separate debts into one account is my objective. I would use this loan for consolidation.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,5fcdf9d0eb7a9d7f11b8547af61e7fd35ae53ade7432280435277698947b443f,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0003,lc_001775456,Covering another personal expense is the purpose of my request. I am seeking a loan with a 36-month term. The funds would be used only for that general personal need.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,5586023b8ec3f4e6a0d3a2edc4c0eee941c962ca295be24adaeb2ea1dc883cf4,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0004,lc_001800802,My loan request is for debt consolidation. I want to combine existing obligations now. This borrowing would put them together.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,0a5c752fbce02f08620255a3cbafc990ecce6a6c9f55bbd84ee450cade7d36ff,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0005,lc_001843773,A 36-month installment loan would allow me to refinance my current credit card balance. I would apply the proceeds to replacing that revolving debt.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,e1d66ee5d7c819f02a95ef56a8d7068f2ea9fec891a8ff43b4238ca11ff7aa4c,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0006,lc_001839867,Gathering my current debts into one account is the purpose of this loan. I would use the proceeds to consolidate those separate obligations.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,5ab8f66582bf8dd913f341d2f75617fb3570aad45066012e624fa7db0825ddf4,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0007,lc_002124134,Wedding costs would be covered through the 60-month loan I am seeking. I plan to use the financing for the celebration and its arrangements.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,6fc13d92b10ad77855d704b156ca6cb37d5686fd841e1c223f07afc6cf628999,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0008,lc_001821564,"With existing obligations held separately, I am requesting a debt consolidation loan. The intended use is to combine those obligations under one new loan rather than leave them divided.",1,gpt-5.6-sol,xhigh,synthetic-description-v2,a7ded1c58d86aa1b89a6a4fcffbad277561907b34edea97c96368a1df08f50b0,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0009,lc_001750135,"A general personal need is behind my application, and I would use the loan for that expense. It is not tied to a specific purchase.",1,gpt-5.6-sol,xhigh,synthetic-description-v2,f2f871e13269acb39891fdb401573b18ba791d015f5b28c82582e88eb9b70693,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0010,lc_001780172,A 36-month refinancing loan would replace the balances on my credit cards. I would use the proceeds to move that revolving debt into one installment account.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,e0be7b355b93d26771113bea9fa643d5e6a4e3e8878d8949c2774be7312e38c5,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0011,lc_001803169,I want to consolidate my existing debts with this loan now. Bringing them together is the only reason I’m applying.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,94d82deb5a5e20b9a3a32219269e8d131666f9c9aff9fa804f357c86ec338994,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0012,lc_001806141,"Because consolidating debt is my goal, I would use this loan to combine separate obligations. I have been employed for at least ten years, and my request is limited to consolidation.",1,gpt-5.6-sol,xhigh,synthetic-description-v2,27926e3d7986c918ca5688632d66b7cb10d7b9551956a68ce46c8f344f8478f5,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0013,lc_001792442,Three-year financing would bring the debts I currently hold separately into one account. I would use the loan to consolidate those obligations.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,bdaaa12d3c321f0eb672cae35c0f6d6eb5f2273728a7ffba7b494fe2c7c0cfa6,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0014,lc_001850223,"This loan request is for credit card refinancing. I would use the proceeds to replace the card balances with installment borrowing. The requested loan would have a 36-month term, and no other purchase is part of my intended use.",1,gpt-5.6-sol,xhigh,synthetic-description-v2,f01e9d4e3d709caa3ef97d768c48b47a701896bd7b246d22eeeb8fb2c5279816,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0015,lc_002135309,I am seeking funds for a major purchase. The loan would cover that broad purpose. I have not designated another use.,1,gpt-5.6-sol,xhigh,synthetic-description-v2,108aab03d5e77304f083960936e1cd32a355419c0bace725f11d2d83eea1a60b,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
syn_0016,lc_002118278,"Buying a vehicle is the reason for my loan request. I currently have a mortgage on my home, while the financing itself would go toward the car purchase.",1,gpt-5.6-sol,xhigh,synthetic-description-v2,b98288a38998eaad1032f7a49dcbaf53b143a165a50ae089bc7f8bb19c5a96ee,codex-task-01a08e84-d1de-7111-a1f4-d347b997bf60-shard-0001-0500,2026-09-11T12:46:37.356812+00:00
